ID,ratings.average,ratings.stddev,ratings.owned,ratings.averageweight,ratings.numweights,Plays,ranking,name
1,7.85184,1.53072,5886,4.3194,407,9146,351,Antiquity
2,3.90909,1.77121,129,2,4,29,25268,Beest
3,7.60535,1.43524,4381,3.0382,157,9812,657,Bus
4,6.25851,1.40409,860,2.4688,32,617,7129,Cannes
5,6.01543,1.56592,164,1.75,4,125,16197,Draf
6,6.31873,1.68213,936,3.6724,58,716,6031,DuckDealer
7,8.06567,1.60447,24516,4.199,970,49961,39,FCM
8,4.56,2.0529,21,1,1,7,NA,Gossip
9,6.95765,1.60269,1019,3.581,105,1405,2952,GreedInc
10,7.89053,1.47859,2715,4.2621,103,2991,1502,HorselessCarriage
11,7.88254,1.52176,5160,3.9865,443,11065,307,Indonesia
12,6.27586,1.59518,137,0,0,31,NA,Kiek
13,5.22197,1.51102,321,1.375,8,210,24202,Oraklos
14,7.70798,1.65187,4461,4.1957,368,6898,608,RoadsnBoats
15,7.83774,1.49464,6021,3.6863,255,17452,337,The Great Zimbabwe
16,6.78304,1.54133,730,3.8621,29,297,6364,UR 1830 BC
17,6.01189,1.49515,636,2.6071,28,290,10758,VOC